Year	State	Base: All Respondents	in preschool	in kindergarten	in grade 1 to grade 4	in grade 5 to grade 8	in high school 	in college, undergraduate	in graduate school	preschool (in %)	kindergarten(in %)	grade 1 to grade 4(in %)	in grade 5 to grade 8 (in %)	high school (in %)	college. undergraduate (in %)	graduate school (in %)
2012	Missouri	1529503	94174	79077	309767	314428	312070	339983	80004	6.15716347074834	5.17011081377415	20.2527879971468	20.5575275105704	20.4033597841913	22.228331686829	5.23071873673997
2012	Montana	236199	13274	13644	50646	48834	48194	51908	9699	5.61983750989632	5.776485082494	21.4420890858979	20.6749393519871	20.4039813885749	21.9763843200014	4.10628326114844
2012	Nebraska	508455	33111	26471	103166	102921	101656	113658	27472	6.51208071510753	5.2061637706385	20.2900945019717	20.2419093135086	19.9931164016481	22.3536006136236	5.40303468350198
2012	Nevada	689934	31235	37383	150053	147560	154118	140887	28698	4.52724463499407	5.41834436337389	21.7488919229955	21.3875530123171	22.3380787147756	20.4203590488366	4.15952830270722
2012	New Hampshire	316403	18156	14685	58833	62423	67875	76339	18092	5.73825153364538	4.64123285809553	18.5943243268869	19.7289532652977	21.4520721990626	24.1271416516278	5.71802416538402
2012	New Jersey	2267652	170364	113860	440693	457550	482369	483479	119337	7.51279296823322	5.02105261301117	19.4338902089033	20.1772582389185	21.2717383443315	21.3206876540139	5.26257997258839
2012	New Mexico	557777	29016	28943	115132	111549	114784	131237	27116	5.20207896704239	5.18899129939026	20.6412240017068	19.9988525880415	20.578833476461	23.528578625508	4.86144104185006
2012	New York	4926760	302328	237302	924161	932783	1005920	1212687	311579	6.13644667083438	4.81659346101698	18.7579869934805	18.9329904440241	20.4174751763837	24.6142901217027	6.32421713255771
2012	North Carolina	2533803	142098	130128	509457	515687	524092	594123	118218	5.60809186823127	5.13567945100704	20.1064171129326	20.3522925815464	20.6840073991546	23.4478765713041	4.66563501582404
2012	North Dakota	181491	11061	10189	36480	33096	32976	49691	7998	6.09451708349174	5.61405248745117	20.1001702563763	18.235614989173	18.1694960080665	27.3793190846929	4.4068300907483
2012	Ohio	2922228	178053	143674	581091	598638	620393	657827	142552	6.09305639395694	4.91659103943977	19.8852040292544	20.4856705226286	21.2301367312886	22.5111456053395	4.8781956780922
2012	Oklahoma	999903	67157	56800	217727	208531	200593	209843	39252	6.71635148609415	5.68055101344831	21.7748121567792	20.8551229469259	20.0612459408563	20.9863356745604	3.92558078133579
2012	Oregon	960816	55579	48535	190728	188777	195439	235222	46536	5.78456228872125	5.05143544653711	19.850626967078	19.6475703984946	20.3409393682037	24.481482406621	4.84338312434431
